Country,Region,Population,Life Expectancy
China,East Asia & Pacific,1392730000,77
India,South Asia,1352617328,69
United States,North America,326687501,79
Indonesia,East Asia & Pacific,267663435,72
Pakistan,South Asia,212215030,67
Brazi,Latin America & Caribbean,209469333,76
Nigeria,Sub-Saharan Africa,195874740,54
Bangladesh,South Asia,161356039,72
Russia,Europe & Central Asia,144478050,73
Japan,East Asia & Pacific,126529100,84
Mexico,Latin America & Caribbean,126190788,75
Ethiopia,Sub-Saharan Africa,109224559,66
Philippines,East Asia & Pacific,106651922,71
Egypt Arab Rep.,Middle East & North Africa,98423595,72
Vietnam,East Asia & Pacific,95540395,75